title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
Pretenders,Pretenders,0,en,,"A love triangle involving a photographer, a director and an actress.",7.163,95,0,2019-09-27,5.6,13,Drama,English,United States of America,https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"subject: Movies;persons: Franco, James;creative_works: Pretenders (Movie);",2019-10-03T11:00:07+0000,276,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",,,Pretenders,,,,By Glenn Kenny,
Pimp,Pimp,0,en,,"An urban love story set on the hard streets of the Bronx. A struggling female pimp, named Wednesday, grows up learning the game from her dad. Once he's gone she's left to look out for her prostitute mother and girlfriend Nikki.",8.531,86,0,2018-11-09,6.3,29,Drama,English,United States of America,https://www.nytimes.com/2018/11/08/movies/pimp-review.html,This lurid melodrama follows a female pimp (Keke Palmer) and her girlfriend-prostitute.,The New York Times,"subject: Movies;persons: Palmer, Keke;persons: Gathegi, Edi;persons: Crokos, Christine;creative_works: Pimp (Movie);",2018-11-08T12:00:01+0000,270,‘Pimp’ Review: Blaxploitation and Lesbian Love,,,Pimp,,,,By Jeannette Catsoulis,
The Princess of France,La princesa de Francia,0,es,,"A year after his father’s death, Victor returns to Buenos Aires in order to reconquer the life he was forced to abandon. He brings a new project with him for his former theater company: a radio-play of Shakespeare’s “Love’s Labour’s Lost”.",3.639,65,0,2014-08-07,6.1,7,Comedy,Español,"Argentina, France",https://www.nytimes.com/2015/06/26/movies/review-shakespeare-and-love-cuddle-up-in-the-princess-of-france.html,Modern life among the overcultured and underemployed urban young in the latest from the Argentine writer-director Matías Piñeiro.,The New York Times,"subject: Movies;persons: Pineiro, Matias;",2015-06-25T23:04:26+0000,526,Review: Shakespeare and Love Cuddle Up in ‘The Princess of France’,,,Elizabethan Embraces and Games,,,,By A.O. Scott,
Shéhérazade,Shéhérazade,0,fr,,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. He falls in love with Shéhérazade, a young prostitute of whom he becomes the pimp without realizing it...",8.15,106,0,2018-09-05,7.2,246,"Drama, Thriller, Romance",Français,France,https://www.nytimes.com/2019/05/10/movies/sheherazade-review.html,The options are few and most of them involve risk or further deprivation for these French teenagers who face the world with little support.,The New York Times,"subject: Movies;organizations: Netflix Inc;creative_works: Sheherazade (Movie);persons: Marlin, Jean-Bernard;",2019-05-10T11:00:01+0000,350,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,Streaming Movie Review,,,,,,By Helen T. Verongos,
Love Hard,Love Hard,0,en,https://www.netflix.com/title/81086631,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.",19.634,105,0,2021-11-05,6.952,1428,"Comedy, Romance",English,United States of America,https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,"When a perennially single journalist travels across the country to meet her dream guy, she finds she’s been catfished.",The New York Times,"subject: Movies;creative_works: Love Hard (Movie);persons: Jimenez, Hernan;",2021-11-05T07:01:03+0000,343,"‘Love Hard’ Review: Seeking Connection, Not Perfection",,,Love Hard,,,,By Concepción de León,
"Pamela, a Love Story","Pamela, A Love Story",0,en,https://www.netflix.com/title/81590934,"In her own words, through personal video and diaries, Pamela Anderson shares the story of her rise to fame, rocky romances and infamous sex tape scandal.",19.226,113,0,2023-01-30,6.978,208,Documentary,English,United States of America,https://www.nytimes.com/2023/01/31/movies/pamela-a-love-story-review.html,"This documentary from Ryan White rewinds, to powerful effect, on Pamela Anderson’s life and fame.",The New York Times,"subject: Documentary Films and Programs;persons: Anderson, Pamela (1967- );persons: White, Ryan (Filmmaker);creative_works: Pamela, a Love Story (Movie);",2023-01-31T12:00:05+0000,295,"‘Pamela, a Love Story’ Review: A Frank Look Back",,,"Pamela, a Love Story",,,,By Glenn Kenny,
Museum Town,Museum Town,0,en,https://www.museumtownmovie.com/,A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,1.667,75,0,2019-03-10,0.0,0,Documentary,English,United States of America,https://www.nytimes.com/2020/12/17/movies/museum-town-review.html,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,The New York Times,"subject: Documentary Films and Programs;subject: Art;creative_works: Museum Town (Movie);persons: Trainer, Jennifer;organizations: Massachusetts Museum of Contemporary Art;subject: Museums;glocations: North Adams (Mass);",2020-12-17T15:49:52+0000,280,‘Museum Town’ Review: A Love Letter to Mass MoCA,,,Museum Town,,,,By Lovia Gyarkye,
Future People,Future People: The Family of Donor 5114,0,en,,"Filmed over eight years, Rothman follows a group of adolescents who discover that they were conceived from the same sperm donor, forming an unlikely family of familiar strangers. There are presently 37 half-siblings, and counting. This documentary explores the complexities of alternative conception while defining a new realm of modern family.",0.515,102,0,2021-04-09,0.0,0,Documentary,English,United States of America,https://www.nytimes.com/2021/04/09/movies/future-people-review.html,This documentary chronicles eight years in the lives of a group of children who form a bond after discovering they were conceived by the same sperm donor.,The New York Times,"subject: Documentary Films and Programs;creative_works: Future People: The Family of Donor 5114 (Movie);subject: ARTIFICIAL INSEMINATION;subject: Children and Childhood;persons: Rothman, Michael (Filmmaker);",2021-04-09T11:00:04+0000,317,"‘Future People’ Review: Connected by Biology, Bonded by Love",,,So Many Siblings  Seeking One Another,,,,By Natalia Winkelman,
"Marguerite & Julien,’ a Tale of Siblings in Lov",Le théorème de Marguerite,2470000,fr,http://inter.pyramidefilms.com/pyramidefilms-international-catalogue/my-wonderful-stranger.html,"The future of Marguerite, a brilliant student in Mathematics at the prestigious Ecole Normale Supérieure, seems all planned out. The only woman from her year, Marguerite is finishing a thesis she has to present to an audience of researchers. On the big day, a mistake shakes all her certainties and all her foundations collapse.",68.554,114,1091821,2023-11-01,6.824,94,Drama,Français,"France, Switzerland",https://www.nytimes.com/2016/02/26/movies/review-marguerite-julien-a-tale-of-siblings-in-love.html,"Valérie Donzelli’s film transposes the factually based, centuries-old story of incestuous French lovers to a not-quite-modern setting.",The New York Times,"subject: Movies;persons: Donzelli, Valerie;persons: Elkaim, Jeremie;creative_works: Marguerite & Julien (Movie);",2016-02-26T01:18:45+0000,289,"Review: ‘Marguerite & Julien,’ a Tale of Siblings in Love",,,"Review: ‘Marguerite &amp; Julien,’ a Tale of Siblings in Love",,,,By Glenn Kenny,
The Party,The Party,1500000,en,,"Hrundi V. Bakshi, an accident-prone actor from India, is accidentally put on the guest list for an upcoming party at the home of a Hollywood film producer. Unfortunately, from the moment he arrives, one thing after another goes wrong with compounding effect.",24.307,99,2900000,1968-04-04,7.295,728,Comedy,English,United States of America,https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,Sally Potter directs a very fine cast in a would-be comedy about a calamitously bad evening.,The New York Times,"subject: Movies;creative_works: The Party (Movie);persons: Potter, Sally;persons: Spall, Timothy;persons: Scott Thomas, Kristin;",2018-02-15T12:00:25+0000,598,Review: A London Night Goes Wrong in ‘The Party’,,,"  Invite Company. Because After All, Misery Loves It.",,,,By Manohla Dargis,
